Chr	Start	End	Region	GenomeVersion
chr6	0	2300000	telomere	GRCh38
chr6	58500000	62600000	centromere	GRCh38
chr6	164100000	170805979	telomere	GRCh38
chr7	0	2800000	telomere	GRCh38
chr7	58100000	62100000	centromere	GRCh38
chr7	155200000	159345973	telomere	GRCh38
chr8	0	2300000	telomere	GRCh38
chr8	43200000	47200000	centromere	GRCh38
chr8	138900000	145138636	telomere	GRCh38
chr9	0	2200000	telomere	GRCh38
chr9	42200000	45500000	centromere	GRCh38
chr9	134500000	138394717	telomere	GRCh38
chrX	0	4400000	telomere	GRCh38
chrX	58100000	63800000	centromere	GRCh38
chrX	148000000	156040895	telomere	GRCh38
chrY	0	300000	telomere	GRCh38
chrY	10300000	10600000	centromere	GRCh38
chr1	0	2300000	telomere	GRCh37
chr1	121500000	128900000	centromere	GRCh37
chr1	243700000	249250621	telomere	GRCh37
chr10	0	3000000	telomere	GRCh37
chr10	38000000	42300000	centromere	GRCh37
chr10	130600000	135534747	telomere	GRCh37
chr11	0	2800000	telomere	GRCh37
chr11	51600000	55700000	centromere	GRCh37
chr11	130800000	135006516	telomere	GRCh37
chr12	0	3300000	telomere	GRCh37
chr12	33300000	38200000	centromere	GRCh37
chr12	129300000	133851895	telomere	GRCh37
chr13	16300000	19500000	centromere	GRCh37
chr13	110300000	115169878	telomere	GRCh37
chr14	16100000	19100000	centromere	GRCh37
chr14	104000000	107349540	telomere	GRCh37
chr15	15800000	20700000	centromere	GRCh37
chr15	98500000	102531392	telomere	GRCh37
chr16	0	7900000	telomere	GRCh37
chr16	34600000	38600000	centromere	GRCh37
chr16	88700000	90354753	telomere	GRCh37
chr17	0	3300000	telomere	GRCh37
chr17	22200000	25800000	centromere	GRCh37
chr17	75300000	81195210	telomere	GRCh37
chr18	0	2900000	telomere	GRCh37
chr18	15400000	19000000	centromere	GRCh37
chr18	73100000	78077248	telomere	GRCh37
chr19	0	6900000	telomere	GRCh37
chr19	24400000	28600000	centromere	GRCh37
chr19	56300000	59128983	telomere	GRCh37
chr2	0	4400000	telomere	GRCh37
chr2	90500000	96800000	centromere	GRCh37
chr2	237300000	243199373	telomere	GRCh37
chr20	0	5100000	telomere	GRCh37
chr20	25600000	29400000	centromere	GRCh37
chr20	58400000	63025520	telomere	GRCh37
chr21	10900000	14300000	centromere	GRCh37
chr21	42600000	48129895	telomere	GRCh37
chr22	12200000	17900000	centromere	GRCh37
chr22	49400000	51304566	telomere	GRCh37
chr3	0	2800000	telomere	GRCh37
chr3	87900000	93900000	centromere	GRCh37
chr3	192300000	198022430	telomere	GRCh37
chr4	0	4500000	telomere	GRCh37
chr4	48200000	52700000	centromere	GRCh37
chr4	187100000	191154276	telomere	GRCh37
chr5	0	4500000	telomere	GRCh37
chr5	46100000	50700000	centromere	GRCh37
chr5	176600000	180915260	telomere	GRCh37
chr6	0	2300000	telomere	GRCh37
chr6	58700000	63300000	centromere	GRCh37
chr6	164500000	171115067	telomere	GRCh37
chr7	0	2800000	telomere	GRCh37
chr7	58000000	61700000	centromere	GRCh37
chr7	155100000	159138663	telomere	GRCh37
chr8	0	2200000	telomere	GRCh37
chr8	43100000	48100000	centromere	GRCh37
chr8	139900000	146364022	telomere	GRCh37
chr9	0	2200000	telomere	GRCh37
chr9	47300000	50700000	centromere	GRCh37
chr9	137400000	141213431	telomere	GRCh37
chrX	0	4300000	telomere	GRCh37
chrX	58100000	63000000	centromere	GRCh37
chrX	147100000	155270560	telomere	GRCh37
chrY	0	2500000	telomere	GRCh37
chrY	11600000	13400000	centromere	GRCh37
chr1	10000	87112	segmentaldup	GRCh37
chr1	87113	177417	segmentaldup	GRCh37
chr1	227417	267707	segmentaldup	GRCh37
chr1	317719	471368	segmentaldup	GRCh37
chr1	521368	752672	segmentaldup	GRCh37
chr1	752747	756780	segmentaldup	GRCh37
chr1	759039	802515	segmentaldup	GRCh37
chr1	802572	807887	segmentaldup	GRCh37
chr1	808259	834081	segmentaldup	GRCh37
chr1	891301	895937	segmentaldup	GRCh37
chr1	1011244	1013035	segmentaldup	GRCh37
chr1	1013040	1014805	segmentaldup	GRCh37
chr1	1379894	1384310	segmentaldup	GRCh37
chr1	1399459	1431722	segmentaldup	GRCh37
chr1	1431812	1437413	segmentaldup	GRCh37
chr1	1439902	1470205	segmentaldup	GRCh37
chr1	1567836	1584471	segmentaldup	GRCh37
chr1	1586689	1596469	segmentaldup	GRCh37
chr1	1598262	1600000	segmentaldup	GRCh37
chr1	1604241	1609189	segmentaldup	GRCh37
chr1	1617302	1631022	segmentaldup	GRCh37
chr1	1631055	1647700	segmentaldup	GRCh37
chr1	1652901	1662375	segmentaldup	GRCh37
chr1	1664634	1666363	segmentaldup	GRCh37
chr1	1666776	1672024	segmentaldup	GRCh37
chr1	1672081	1683632	segmentaldup	GRCh37
chr1	2479864	2482127	segmentaldup	GRCh37
chr1	2482808	2485486	segmentaldup	GRCh37
chr1	2499074	2501732	segmentaldup	GRCh37
chr1	2508042	2510025	segmentaldup	GRCh37
chr1	2583448	2615149	segmentaldup	GRCh37
chr1	2615912	2622398	segmentaldup	GRCh37
chr1	2623340	2634220	segmentaldup	GRCh37
chr1	2685288	2693799	segmentaldup	GRCh37
chr1	4103258	4105283	segmentaldup	GRCh37
chr1	5714941	5717300	segmentaldup	GRCh37
chr1	5725895	5733848	segmentaldup	GRCh37
chr1	6245088	6246878	segmentaldup	GRCh37
chr1	6487720	6519477	segmentaldup	GRCh37
chr1	8670451	8685633	segmentaldup	GRCh37
chr1	8713766	8719789	segmentaldup	GRCh37
chr1	8953260	8954677	segmentaldup	GRCh37
chr1	9787004	9788973	segmentaldup	GRCh37
chr1	11082178	11084097	segmentaldup	GRCh37
chr1	11980121	11986460	segmentaldup	GRCh37
chr1	12840257	12865638	segmentaldup	GRCh37
chr1	12869343	12906128	segmentaldup	GRCh37
chr1	12906949	12908309	segmentaldup	GRCh37
chr1	12911045	12913455	segmentaldup	GRCh37
chr1	12915177	13052998	segmentaldup	GRCh37
chr1	13102998	13178079	segmentaldup	GRCh37
chr1	13182368	13184039	segmentaldup	GRCh37
chr1	13189994	13219912	segmentaldup	GRCh37
chr1	13319912	13557162	segmentaldup	GRCh37
chr1	13607162	13774009	segmentaldup	GRCh37
chr1	13777178	13781405	segmentaldup	GRCh37
chr1	13881707	13884412	segmentaldup	GRCh37
chr1	15780540	15798930	segmentaldup	GRCh37
chr1	15799949	15818262	segmentaldup	GRCh37
chr1	15994261	15995539	segmentaldup	GRCh37
chr1	16120237	16131164	segmentaldup	GRCh37
chr1	16346932	16367077	segmentaldup	GRCh37
chr1	16368767	16389585	segmentaldup	GRCh37
chr1	16721849	16724638	segmentaldup	GRCh37
chr1	16793709	16799995	segmentaldup	GRCh37
chr1	16800937	16925627	segmentaldup	GRCh37
chr1	16925664	16943616	segmentaldup	GRCh37
chr1	16943767	16963598	segmentaldup	GRCh37
chr1	16963600	17015279	segmentaldup	GRCh37
chr1	17015549	17047221	segmentaldup	GRCh37
chr1	17047233	17050277	segmentaldup	GRCh37
chr1	17051487	17088345	segmentaldup	GRCh37
chr1	17088429	17125658	segmentaldup	GRCh37
chr1	17175658	17231682	segmentaldup	GRCh37
chr1	17231952	17280857	segmentaldup	GRCh37
chr1	17300240	17301588	segmentaldup	GRCh37
chr1	17733257	17735693	segmentaldup	GRCh37
chr1	19592445	19600000	segmentaldup	GRCh37
chr1	19605102	19614633	segmentaldup	GRCh37
chr1	20480449	20487084	segmentaldup	GRCh37
chr1	21724548	21725871	segmentaldup	GRCh37
chr1	21737596	21754486	segmentaldup	GRCh37
chr1	21755318	21758713	segmentaldup	GRCh37
chr1	21759410	21764547	segmentaldup	GRCh37
chr1	21766282	21813075	segmentaldup	GRCh37
chr1	22293983	22319507	segmentaldup	GRCh37
chr1	22319648	22342693	segmentaldup	GRCh37
chr1	22412929	22419443	segmentaldup	GRCh37
chr1	23636291	23637816	segmentaldup	GRCh37
chr1	24227542	24229684	segmentaldup	GRCh37
chr1	24256637	24363222	segmentaldup	GRCh37
chr1	24998710	24999761	segmentaldup	GRCh37
chr1	25167279	25170812	segmentaldup	GRCh37
chr1	25585373	25664845	segmentaldup	GRCh37
chr1	25688913	25751819	segmentaldup	GRCh37
chr1	26545071	26547381	segmentaldup	GRCh37
chr1	26751787	26756217	segmentaldup	GRCh37
chr1	26845617	26846912	segmentaldup	GRCh37
chr1	26964369	26968745	segmentaldup	GRCh37
chr1	26972645	26977159	segmentaldup	GRCh37
chr1	27143732	27145830	segmentaldup	GRCh37
chr1	27311818	27312837	segmentaldup	GRCh37
chr1	27533318	27535238	segmentaldup	GRCh37
chr1	27651820	27653018	segmentaldup	GRCh37
chr1	27730736	27736702	segmentaldup	GRCh37
chr1	28060752	28062361	segmentaldup	GRCh37
chr1	28288256	28295294	segmentaldup	GRCh37
chr1	28421569	28422899	segmentaldup	GRCh37
chr1	28542051	28543331	segmentaldup	GRCh37
chr1	28544609	28546205	segmentaldup	GRCh37
chr1	28825673	28826820	segmentaldup	GRCh37
chr1	28920206	28921961	segmentaldup	GRCh37
chr1	29069246	29070499	segmentaldup	GRCh37
chr1	29654892	29657844	segmentaldup	GRCh37
chr1	29670096	29671776	segmentaldup	GRCh37
chr1	29780749	29781792	segmentaldup	GRCh37
chr1	29847606	29849112	segmentaldup	GRCh37
chr1	29875627	29878082	segmentaldup	GRCh37
chr1	30124214	30125431	segmentaldup	GRCh37
chr1	30153659	30155441	segmentaldup	GRCh37
chr1	30227517	30229275	segmentaldup	GRCh37
chr1	30605263	30606481	segmentaldup	GRCh37
chr1	30757955	30759640	segmentaldup	GRCh37
chr1	30791704	30793219	segmentaldup	GRCh37
chr1	30834031	30835794	segmentaldup	GRCh37
chr1	30846991	30848012	segmentaldup	GRCh37
chr1	30918354	30920051	segmentaldup	GRCh37
chr1	30921786	30924722	segmentaldup	GRCh37
chr1	30989281	30991038	segmentaldup	GRCh37
chr1	31129341	31131869	segmentaldup	GRCh37
chr1	31133922	31135608	segmentaldup	GRCh37
chr1	32372021	32374561	segmentaldup	GRCh37
chr1	32888826	32891862	segmentaldup	GRCh37
chr1	33086436	33087551	segmentaldup	GRCh37
chr1	33145239	33146252	segmentaldup	GRCh37
chr1	33516583	33519098	segmentaldup	GRCh37
chr1	33869135	33870474	segmentaldup	GRCh37
chr1	35586379	35587797	segmentaldup	GRCh37
chr1	35885652	35887540	segmentaldup	GRCh37
chr1	36751966	36755357	segmentaldup	GRCh37
chr1	36769395	36770935	segmentaldup	GRCh37
chr1	38246798	38247900	segmentaldup	GRCh37
chr1	38422664	38423937	segmentaldup	GRCh37
chr1	39174516	39176909	segmentaldup	GRCh37
chr1	39328161	39330388	segmentaldup	GRCh37
chr1	39469716	39471577	segmentaldup	GRCh37
chr1	39955805	39962397	segmentaldup	GRCh37
chr1	39963276	39965268	segmentaldup	GRCh37
chr1	39975198	39991540	segmentaldup	GRCh37
chr1	40020441	40021507	segmentaldup	GRCh37
chr1	40021508	40022596	segmentaldup	GRCh37
chr1	40184235	40185679	segmentaldup	GRCh37
chr1	40226020	40242350	segmentaldup	GRCh37
chr1	40243205	40245219	segmentaldup	GRCh37
chr1	40249739	40255903	segmentaldup	GRCh37
chr1	40361099	40362233	segmentaldup	GRCh37
chr1	40535360	40538320	segmentaldup	GRCh37
chr1	41025011	41026723	segmentaldup	GRCh37
chr1	42506959	42508516	segmentaldup	GRCh37
chr1	43277615	43279043	segmentaldup	GRCh37
chr1	43355312	43358092	segmentaldup	GRCh37
chr1	43450084	43452003	segmentaldup	GRCh37
chr1	44315109	44316235	segmentaldup	GRCh37
chr1	44568713	44570377	segmentaldup	GRCh37
chr1	44595022	44601032	segmentaldup	GRCh37
chr1	45425282	45426642	segmentaldup	GRCh37
chr1	45482072	45486451	segmentaldup	GRCh37
chr1	46311014	46312847	segmentaldup	GRCh37
chr1	46705669	46708631	segmentaldup	GRCh37
chr1	47023089	47024474	segmentaldup	GRCh37
chr1	47183573	47184708	segmentaldup	GRCh37
chr1	47304216	47366356	segmentaldup	GRCh37
chr1	47387403	47410263	segmentaldup	GRCh37
chr1	47410382	47416027	segmentaldup	GRCh37
chr1	47516953	47518448	segmentaldup	GRCh37
chr1	47532911	47588602	segmentaldup	GRCh37
chr1	47593224	47598846	segmentaldup	GRCh37
chr1	47600000	47622817	segmentaldup	GRCh37
chr1	48901373	48903442	segmentaldup	GRCh37
chr1	50307961	50312161	segmentaldup	GRCh37
chr1	51623110	51624189	segmentaldup	GRCh37
chr1	51736858	51738924	segmentaldup	GRCh37
chr1	52552382	52553993	segmentaldup	GRCh37
chr1	53457453	53458958	segmentaldup	GRCh37
chr1	54440270	54441815	segmentaldup	GRCh37
chr1	55002438	55003762	segmentaldup	GRCh37
chr1	55219532	55221024	segmentaldup	GRCh37
chr1	55688544	55689741	segmentaldup	GRCh37
chr1	56707720	56712766	segmentaldup	GRCh37
chr1	57553065	57554470	segmentaldup	GRCh37
chr1	57749683	57750938	segmentaldup	GRCh37
chr1	58513512	58515045	segmentaldup	GRCh37
chr1	59465286	59466333	segmentaldup	GRCh37
chr1	60748729	60750560	segmentaldup	GRCh37
chr1	61405919	61408470	segmentaldup	GRCh37
chr1	62675534	62677970	segmentaldup	GRCh37
chr1	64015042	64016307	segmentaldup	GRCh37
chr1	64308353	64309430	segmentaldup	GRCh37
chr1	65691745	65696771	segmentaldup	GRCh37
chr1	66147177	66149302	segmentaldup	GRCh37
chr1	66347872	66350004	segmentaldup	GRCh37
chr1	67743733	67745385	segmentaldup	GRCh37
chr1	67875187	67878948	segmentaldup	GRCh37
chr1	68124875	68126184	segmentaldup	GRCh37
chr1	68625777	68628998	segmentaldup	GRCh37
chr1	68941002	68942754	segmentaldup	GRCh37
chr1	70715634	70717684	segmentaldup	GRCh37
chr1	70995967	70998157	segmentaldup	GRCh37
chr1	71518806	71520058	segmentaldup	GRCh37
chr1	72424540	72426034	segmentaldup	GRCh37
chr1	72884937	72886014	segmentaldup	GRCh37
chr1	74643870	74645607	segmentaldup	GRCh37
chr1	75063568	75064868	segmentaldup	GRCh37
chr1	76207707	76209239	segmentaldup	GRCh37
chr1	77165440	77166643	segmentaldup	GRCh37
chr1	77567754	77568967	segmentaldup	GRCh37
chr1	78275454	78277621	segmentaldup	GRCh37
chr1	78313433	78315299	segmentaldup	GRCh37
chr1	78781851	78782984	segmentaldup	GRCh37
chr1	79323994	79325035	segmentaldup	GRCh37
chr1	79519606	79521791	segmentaldup	GRCh37
chr1	79785348	79788476	segmentaldup	GRCh37
chr1	79814218	79817181	segmentaldup	GRCh37
chr1	79986751	79989336	segmentaldup	GRCh37
chr1	80916466	80917684	segmentaldup	GRCh37
chr1	81892100	81894007	segmentaldup	GRCh37
chr1	81968988	81971426	segmentaldup	GRCh37
chr1	82187296	82191439	segmentaldup	GRCh37
chr1	82549932	82551307	segmentaldup	GRCh37
chr1	83598159	83647450	segmentaldup	GRCh37
chr1	83647856	83955427	segmentaldup	GRCh37
chr1	85947256	85949077	segmentaldup	GRCh37
chr1	86967755	86974027	segmentaldup	GRCh37
chr1	87017004	87019031	segmentaldup	GRCh37
chr1	87879143	87922942	segmentaldup	GRCh37
chr1	87939459	87967686	segmentaldup	GRCh37
chr1	87967696	87973790	segmentaldup	GRCh37
chr1	89446112	89449654	segmentaldup	GRCh37
chr1	89509514	89543657	segmentaldup	GRCh37
chr1	89568801	89570637	segmentaldup	GRCh37
chr1	89864783	89902910	segmentaldup	GRCh37
chr1	90048183	90059023	segmentaldup	GRCh37
chr1	90458845	90459958	segmentaldup	GRCh37
chr1	90746199	90764052	segmentaldup	GRCh37
chr1	91793914	91795813	segmentaldup	GRCh37
chr1	91997510	92001097	segmentaldup	GRCh37
chr1	92108109	92109896	segmentaldup	GRCh37
chr1	92539214	92541036	segmentaldup	GRCh37
chr1	92596155	92597293	segmentaldup	GRCh37
chr1	92610411	92611550	segmentaldup	GRCh37
chr1	93826175	93828149	segmentaldup	GRCh37
chr1	93975157	93982275	segmentaldup	GRCh37
chr1	94016858	94020211	segmentaldup	GRCh37
chr1	96884473	96888228	segmentaldup	GRCh37
chr1	96912420	96914181	segmentaldup	GRCh37
chr1	98761986	98763137	segmentaldup	GRCh37
chr1	98822465	98824455	segmentaldup	GRCh37
chr1	100287909	100290535	segmentaldup	GRCh37
chr1	100796000	100798034	segmentaldup	GRCh37
chr1	101337927	101339910	segmentaldup	GRCh37
chr1	102251808	102252857	segmentaldup	GRCh37
chr1	102345752	102347627	segmentaldup	GRCh37
chr1	102922084	102924166	segmentaldup	GRCh37
chr1	103325758	103328163	segmentaldup	GRCh37
chr1	103785265	103863906	segmentaldup	GRCh37
chr1	103924998	104003638	segmentaldup	GRCh37
chr1	104096842	104102776	segmentaldup	GRCh37
chr1	104113370	104122234	segmentaldup	GRCh37
chr1	104134710	104210498	segmentaldup	GRCh37
chr1	104211024	104317467	segmentaldup	GRCh37
chr1	104469187	104471406	segmentaldup	GRCh37
chr1	104859529	104862002	segmentaldup	GRCh37
chr1	106239374	106240648	segmentaldup	GRCh37
chr1	106432156	106433467	segmentaldup	GRCh37
chr1	106434183	106435278	segmentaldup	GRCh37
chr1	107609706	107611006	segmentaldup	GRCh37
chr1	108103974	108105023	segmentaldup	GRCh37
chr1	108755625	108853274	segmentaldup	GRCh37
chr1	108900941	108926328	segmentaldup	GRCh37
chr1	108926348	109015286	segmentaldup	GRCh37
chr1	109645733	109647388	segmentaldup	GRCh37
chr1	110216099	110258884	segmentaldup	GRCh37
chr1	110835458	110839695	segmentaldup	GRCh37
chr1	111304552	111306597	segmentaldup	GRCh37
chr1	111390197	111391686	segmentaldup	GRCh37
chr1	111922374	111924178	segmentaldup	GRCh37
chr1	112190851	112191931	segmentaldup	GRCh37
chr1	113212610	113214240	segmentaldup	GRCh37
chr1	113992276	113993749	segmentaldup	GRCh37
chr1	115247099	115248396	segmentaldup	GRCh37
chr1	115457036	115458692	segmentaldup	GRCh37
chr1	115968516	115969539	segmentaldup	GRCh37
chr1	116107068	116109566	segmentaldup	GRCh37
chr1	116398186	116400499	segmentaldup	GRCh37
chr1	117074382	117075596	segmentaldup	GRCh37
chr1	117130440	117203444	segmentaldup	GRCh37
chr1	117282035	117284040	segmentaldup	GRCh37
chr1	117686214	117687850	segmentaldup	GRCh37
chr1	118319156	118321352	segmentaldup	GRCh37
chr1	119156710	119158289	segmentaldup	GRCh37
chr1	119318257	119320034	segmentaldup	GRCh37
chr1	119626818	119628615	segmentaldup	GRCh37
chr1	120098576	120130855	segmentaldup	GRCh37
chr1	120135992	120161850	segmentaldup	GRCh37
chr1	120370755	120372646	segmentaldup	GRCh37
chr1	120381503	120405448	segmentaldup	GRCh37
chr1	120531870	120697156	segmentaldup	GRCh37
chr1	120747156	120936695	segmentaldup	GRCh37
chr1	121086695	121149321	segmentaldup	GRCh37
chr1	121149400	121160281	segmentaldup	GRCh37
chr1	121160482	121222841	segmentaldup	GRCh37
chr1	121233416	121240474	segmentaldup	GRCh37
chr1	121259102	121273813	segmentaldup	GRCh37
chr1	121280228	121351595	segmentaldup	GRCh37
chr1	121361171	121418375	segmentaldup	GRCh37
chr1	121418376	121472478	segmentaldup	GRCh37
chr1	142540095	142731022	segmentaldup	GRCh37
chr1	142781022	142967761	segmentaldup	GRCh37
chr1	143117761	143292816	segmentaldup	GRCh37
chr1	143342816	143544525	segmentaldup	GRCh37
chr1	143644525	143771002	segmentaldup	GRCh37
chr1	143871002	144005301	segmentaldup	GRCh37
chr1	144019497	144095783	segmentaldup	GRCh37
chr1	144145783	144224481	segmentaldup	GRCh37
chr1	144274481	144401744	segmentaldup	GRCh37
chr1	144451744	144622413	segmentaldup	GRCh37
chr1	144672413	144673794	segmentaldup	GRCh37
chr1	144673795	144710724	segmentaldup	GRCh37
chr1	144810724	144882865	segmentaldup	GRCh37
chr1	144883529	144916462	segmentaldup	GRCh37
chr1	144917676	144919024	segmentaldup	GRCh37
chr1	144949143	144986041	segmentaldup	GRCh37
chr1	145118353	145381263	segmentaldup	GRCh37
chr1	145382495	145386506	segmentaldup	GRCh37
chr1	145507616	145511443	segmentaldup	GRCh37
chr1	145611284	145625704	segmentaldup	GRCh37
chr1	145748065	145833117	segmentaldup	GRCh37
chr1	145883118	146164650	segmentaldup	GRCh37
chr1	146214650	146253299	segmentaldup	GRCh37
chr1	146303299	146528980	segmentaldup	GRCh37
chr1	146544009	146552754	segmentaldup	GRCh37
chr1	146553577	146555199	segmentaldup	GRCh37
chr1	146556316	146557965	segmentaldup	GRCh37
chr1	146572824	146577485	segmentaldup	GRCh37
chr1	147313949	147315130	segmentaldup	GRCh37
chr1	147394505	147750226	segmentaldup	GRCh37
chr1	147750230	147761044	segmentaldup	GRCh37
chr1	147761047	147767115	segmentaldup	GRCh37
chr1	147767814	147820337	segmentaldup	GRCh37
chr1	147830570	148026038	segmentaldup	GRCh37
chr1	148176038	148361358	segmentaldup	GRCh37
chr1	148511358	148684147	segmentaldup	GRCh37
chr1	148734147	148954460	segmentaldup	GRCh37
chr1	149004460	149034433	segmentaldup	GRCh37
chr1	149035881	149148545	segmentaldup	GRCh37
chr1	149148561	149214601	segmentaldup	GRCh37
chr1	149214788	149236883	segmentaldup	GRCh37
chr1	149238667	149459645	segmentaldup	GRCh37
chr1	149509645	149815085	segmentaldup	GRCh37
chr1	149821860	149847929	segmentaldup	GRCh37
chr1	150595765	150598285	segmentaldup	GRCh37
chr1	150875990	150877562	segmentaldup	GRCh37
chr1	151220338	151222007	segmentaldup	GRCh37
chr1	151985401	151986448	segmentaldup	GRCh37
chr1	152050411	152054705	segmentaldup	GRCh37
chr1	152185729	152192046	segmentaldup	GRCh37
chr1	152192049	152193456	segmentaldup	GRCh37
chr1	152208315	152209712	segmentaldup	GRCh37
chr1	152275831	152280646	segmentaldup	GRCh37
chr1	152280691	152286484	segmentaldup	GRCh37
chr1	152538125	152539361	segmentaldup	GRCh37
chr1	152551855	152553096	segmentaldup	GRCh37
chr1	152759684	152760771	segmentaldup	GRCh37
chr1	152770179	152771253	segmentaldup	GRCh37
chr1	152902529	152904280	segmentaldup	GRCh37
chr1	153351105	153352646	segmentaldup	GRCh37
chr1	153374874	153401122	segmentaldup	GRCh37
chr1	153417139	153440911	segmentaldup	GRCh37
chr1	154128839	154130199	segmentaldup	GRCh37
chr1	154282933	154286388	segmentaldup	GRCh37
chr1	154292150	154295379	segmentaldup	GRCh37
chr1	154350583	154351639	segmentaldup	GRCh37
chr1	154934773	154938996	segmentaldup	GRCh37
chr1	155121009	155122769	segmentaldup	GRCh37
chr1	155180172	155190755	segmentaldup	GRCh37
chr1	155200766	155213257	segmentaldup	GRCh37
chr1	155402930	155404310	segmentaldup	GRCh37
chr1	155528928	155533729	segmentaldup	GRCh37
chr1	155559749	155561077	segmentaldup	GRCh37
chr1	155561104	155564543	segmentaldup	GRCh37
chr1	155565567	155566902	segmentaldup	GRCh37
chr1	155571230	155573023	segmentaldup	GRCh37
chr1	155573391	155587902	segmentaldup	GRCh37
chr1	155588281	155590098	segmentaldup	GRCh37
chr1	155654804	155659874	segmentaldup	GRCh37
chr1	155681925	155684157	segmentaldup	GRCh37
chr1	155687493	155690120	segmentaldup	GRCh37
chr1	155697074	155698220	segmentaldup	GRCh37
chr1	155711166	155723605	segmentaldup	GRCh37
chr1	155727287	155729068	segmentaldup	GRCh37
chr1	156005091	156006924	segmentaldup	GRCh37
chr1	156219028	156220140	segmentaldup	GRCh37
chr1	156711902	156713672	segmentaldup	GRCh37
chr1	157042970	157044758	segmentaldup	GRCh37
chr1	157098143	157099340	segmentaldup	GRCh37
chr1	157195471	157199199	segmentaldup	GRCh37
chr1	157433335	157437424	segmentaldup	GRCh37
chr1	157499760	157520268	segmentaldup	GRCh37
chr1	157601847	157614647	segmentaldup	GRCh37
chr1	157679942	157681258	segmentaldup	GRCh37
chr1	158144142	158145797	segmentaldup	GRCh37
chr1	158424900	158426046	segmentaldup	GRCh37
chr1	158493405	158496280	segmentaldup	GRCh37
chr1	158840694	158842058	segmentaldup	GRCh37
chr1	159012015	159020297	segmentaldup	GRCh37
chr1	159777787	159779456	segmentaldup	GRCh37
chr1	159887922	159890328	segmentaldup	GRCh37
chr1	159942353	159944033	segmentaldup	GRCh37
chr1	160236042	160237095	segmentaldup	GRCh37
chr1	160287097	160288263	segmentaldup	GRCh37
chr1	160640008	160641466	segmentaldup	GRCh37
chr1	160864676	160866348	segmentaldup	GRCh37
chr1	161412623	161442214	segmentaldup	GRCh37
chr1	161479595	161518642	segmentaldup	GRCh37
chr1	161518643	161599999	segmentaldup	GRCh37
chr1	161600000	161646894	segmentaldup	GRCh37
chr1	162752707	162791163	segmentaldup	GRCh37
chr1	164325905	164327464	segmentaldup	GRCh37
chr1	164818407	164820747	segmentaldup	GRCh37
chr1	166716559	166717992	segmentaldup	GRCh37
chr1	166825765	166827520	segmentaldup	GRCh37
chr1	167757052	167758507	segmentaldup	GRCh37
chr1	167992224	167996944	segmentaldup	GRCh37
chr1	168024584	168025723	segmentaldup	GRCh37
chr1	168338736	168341564	segmentaldup	GRCh37
chr1	168509716	168515794	segmentaldup	GRCh37
chr1	168543280	168550931	segmentaldup	GRCh37
chr1	168646155	168647469	segmentaldup	GRCh37
chr1	169100531	169101958	segmentaldup	GRCh37
